Isotope,Energy (keV),Sigma (mb),DSigma (mb)
53Cr,2601.79,40.4,1.2
53Cr,6282.9,36.0,3.0
53Cr,4847.56,34.6,1.5
53Cr,5858.72,26.599999999999998,2.1
53Cr,5706.94,24.0,4.0
53Cr,3177.78,23.400000000000002,0.8
53Cr,6326.49,21.2,2.3
53Cr,2558.19,19.7,0.7
53Cr,4871.96,18.0,1.0
53Cr,1241.33,14.0,0.5
53Cr,989.074,13.899999999999999,0.5
53Cr,5792.03,11.6,1.2
53Cr,1100.24,11.2,0.4
53Cr,3392.99,10.9,0.7
53Cr,3025.99,10.8,0.9
53Cr,4425.54,10.4,0.9
53Cr,3927.48,9.799999999999999,0.6
53Cr,4133.12,8.9,0.7
53Cr,4451.37,7.8,0.8
53Cr,890.412,7.5,0.4
53Cr,2619.52,7.4,0.4
53Cr,4459.21,6.8,1.1
53Cr,3863.58,6.8,0.6
53Cr,3545.56,5.8999999999999995,0.5
53Cr,5480.8,5.3,1.3
53Cr,5339.18,5.2,1.1
53Cr,5086.37,4.8,0.8
53Cr,3090.5,4.6,0.5
53Cr,4530.3,4.6,0.5
53Cr,1798.22,4.3,0.3
53Cr,5463.3,4.2,0.8
53Cr,1803.92,4.1000000000000005,0.3
53Cr,1435.47,4.1000000000000005,1.3
53Cr,2259.15,3.9,0.3
53Cr,3898.5,3.8,0.9
53Cr,4433.38,3.6,0.7
53Cr,1974.2,3.4,0.6
53Cr,2674.61,3.4,0.3
53Cr,817.12,3.3,1.1
53Cr,3576.13,3.1,0.5
53Cr,2393.69,3.0,0.5
53Cr,745.1,3.0,1.0
53Cr,4751.63,3.0,0.5
53Cr,5794.22,3.0,0.9
53Cr,2967.04,2.8,0.3
53Cr,5021.17,2.8,1.2
53Cr,3403.58,2.7,0.5
53Cr,2101.46,2.4,0.5
53Cr,5189.23,2.4,0.9
53Cr,4391.16,2.4,0.7
53Cr,5502.01,2.4,0.4
53Cr,3292.13,2.3,0.5
53Cr,4493.59,2.3,0.9
53Cr,5636.54,2.3,0.6
53Cr,3073.85,2.0,0.3
53Cr,3382.72,2.0,0.6
53Cr,1340.77,2.0,0.3
53Cr,2101.46,1.8,0.5
53Cr,1619.3,1.7,0.4
53Cr,2464.79,1.6,0.5
53Cr,845.67,1.5,0.3
53Cr,849.47,1.4,0.3
53Cr,1463.53,1.2,0.4
53Cr,1506.97,1.2,0.3
53Cr,2233.12,1.2,0.6
53Cr,1507.49,1.1,0.4
53Cr,1503.55,1.1,0.4
53Cr,1335.25,1.07,0.23
53Cr,946.74,0.9,0.3
53Cr,2750.56,0.9,0.4
53Cr,205.61,0.8899999999999999,0.19
53Cr,4009.9,0.7,0.6
53Cr,2066.96,0.7,0.4
53Cr,1460.11,0.7,0.4
53Cr,944.55,0.53,0.24000000000000002
53Cr,1598.08,0.5,0.4
53Cr,1831.69,0.5,0.4
53Cr,1106.35,0.36000000000000004,0.18000000000000002
54Fe,9297.68,74.7,2.5
54Fe,5507.29,24.7,1.5
54Fe,411.57,22.0,5.0
54Fe,8886.18,16.2,1.2
54Fe,2469.24,11.6,0.7
54Fe,3790.8,7.5,0.7
54Cr,6245.89,5.6,0.9
54Fe,6828.77,5.4,0.8
54Fe,5745.5,4.8999999999999995,0.8
54Fe,6269.45,4.4,0.8
54Fe,7246.6,4.1000000000000005,1.0
54Fe,1639.83,3.6,0.4
54Fe,1918.3,3.4,0.4
54Fe,3028.6,3.4,0.4
54Fe,4802.7,3.4,0.4
54Fe,931.28,3.0,0.3
54Fe,4589.5,2.7,0.5
54Fe,2051.39,2.32,0.15
54Fe,2057.69,2.32,0.15
54Cr,241.87,2.3,0.4
54Fe,4455.1,1.9,1.0
54Fe,4708.5,1.8,0.5
54Cr,1703.2,1.7,0.3
54Fe,3379.3,1.7,0.9
54Fe,3552.6,1.6,0.9
54Fe,2617.0,1.5,0.4
54Cr,6004.05,1.47,0.22
54Cr,4771.87,1.4,0.3
54Fe,5391.2,1.4,0.3
54Fe,1506.74,1.33,0.22
54Fe,2873.0,1.3,0.8
54Cr,565.89,1.23,0.24000000000000002
54Fe,4495.4,1.2,0.5
54Fe,1872.6,1.1,0.3
54Fe,4708.6,1.0,1.2
54Fe,1315.0,0.9,0.5
54Fe,3906.9,0.9,0.5
54Fe,4178.1,0.9,0.5
54Cr,908.28,0.82,0.16
54Fe,2790.4,0.8,0.5
54Cr,1474.16,0.73,0.13999999999999999
54Cr,3351.64,0.27999999999999997,0.060000000000000005
54Cr,5680.06,0.22,0.04
54Cr,324.03,0.16,0.030000000000000002
54Cr,2894.44,0.15,0.030000000000000002
54Cr,3559.18,0.15,0.030000000000000002
54Cr,2686.9,0.094,0.018000000000000002
54Cr,1232.3,0.092,0.014
54Cr,2652.59,0.08600000000000001,0.017
54Cr,517.7,0.073,0.014
54Cr,2202.0,0.07200000000000001,0.014
54Cr,880.7,0.068,0.013
54Cr,2328.57,0.054,0.01
54Cr,4162.28,0.048,0.01
54Cr,2083.79,0.037,0.008
54Cr,3977.0,0.036000000000000004,0.008
54Cr,2121.03,0.032,0.006
54Cr,2445.05,0.032,0.006
54Cr,4044.07,0.032,0.006
54Cr,1841.93,0.022,0.004
54Cr,2269.1,0.019,0.004
54Cr,3478.21,0.0094,0.0019
54Cr,363.05,0.005,0.001
54Cr,314.81,0.004,0.001
55Mn,26.56,3420.0,40.0
55Mn,83.884,3110.0,50.0
55Mn,212.039,2130.0,30.0
55Mn,104.611,1740.0,30.0
55Mn,314.398,1460.0,20.0
55Mn,7243.52,1360.0,30.0
55Mn,7057.89,1220.0,30.0
55Mn,5920.39,1060.0,30.0
55Mn,271.198,940.0,60.0
55Mn,5527.08,788.0,22.0
55Mn,5014.37,737.0,20.0
55Mn,7159.63,643.0,24.0
55Mn,5180.89,412.0,13.0
55Mn,454.378,388.0,7.0
55Mn,6783.74,378.0,17.0
55Mn,7270.14,362.0,15.0
55Mn,188.521,330.0,6.0
55Mn,3408.61,303.0,10.0
55Mn,4724.84,281.0,10.0
55Mn,4949.21,274.0,10.0
55Mn,5067.87,265.0,12.0
55Mn,6929.22,248.0,12.0
55Mn,2043.99,243.0,5.0
55Mn,6104.29,213.0,10.0
55Mn,459.754,210.0,5.0
55Mn,5761.23,200.0,12.0
55Mn,4566.56,197.0,9.0
55Mn,230.096,193.0,4.0
55Mn,2330.55,191.0,8.0
55Mn,3267.17,188.0,6.0
55Mn,2062.81,179.0,5.0
55Mn,215.15,168.0,3.0
55Mn,335.502,147.0,3.0
55Mn,5253.98,132.0,13.0
55Mn,375.192,124.0,3.0
55Mn,4689.14,120.0,9.0
55Mn,2294.42,112.0,6.0
55Mn,2175.91,111.0,4.0
55Mn,5034.6,108.0,8.0
55Mn,504.74,96.0,4.0
55Mn,5198.52,95.0,7.0
55Mn,354.12,93.0,4.0
55Mn,341.01,91.2,2.5
55Mn,3813.99,88.0,8.0
55Mn,6430.04,88.0,7.0
55Mn,5437.71,87.0,7.0
55Mn,2469.99,83.0,6.0
55Mn,2210.29,80.0,5.0
55Mn,4267.69,78.0,6.0
55Mn,4445.06,77.0,8.0
55Mn,274.32,75.0,6.0
55Mn,4379.9,73.0,6.0
55Mn,4643.4,73.0,10.0
55Mn,2873.23,70.0,4.0
55Mn,4907.36,70.0,7.0
55Mn,2953.77,69.0,5.0
55Mn,4874.52,69.0,5.0
55Mn,2677.2,68.0,10.0
55Mn,6031.03,67.0,7.0
55Mn,4222.85,66.0,5.0
55Mn,4840.72,64.0,6.0
55Mn,123.46,61.199999999999996,2.3
55Mn,3641.21,61.0,5.0
55Mn,4549.7,56.0,6.0
55Mn,716.2,55.0,3.0
55Mn,3002.85,55.0,5.0
55Mn,4934.09,55.0,6.0
55Mn,3751.5,54.0,5.0
55Mn,4588.23,53.0,5.0
55Mn,2016.47,52.699999999999996,2.5
55Mn,118.77,52.6,2.2
55Mn,5110.97,50.0,5.0
55Mn,5403.7,50.0,6.0
55Mn,3927.8,44.0,6.0
55Mn,4969.28,43.0,5.0
55Mn,3820.48,42.0,5.0
55Mn,499.57,40.2,2.0
55Mn,3979.0,39.0,5.0
55Mn,2045.76,38.4,2.3
55Mn,4110.35,34.0,4.0
55Mn,4348.3,34.0,5.0
55Mn,2395.4,32.0,5.0
55Mn,3498.73,32.0,5.0
55Mn,2319.56,31.0,5.0
55Mn,3046.67,30.0,8.0
55Mn,2921.2,30.0,4.0
55Mn,3579.92,30.0,5.0
55Mn,6553.5,30.0,5.0
55Mn,5977.2,29.0,5.0
55Mn,3783.32,28.0,4.0
55Mn,4102.65,27.0,4.0
55Mn,2508.16,26.0,4.0
55Mn,2255.3,25.0,4.0
55Mn,2428.8,24.0,5.0
55Mn,3271.2,24.0,3.0
55Mn,4074.2,22.0,4.0
55Mn,3171.7,22.0,5.0
55Mn,5542.3,21.0,5.0
55Mn,5493.5,20.0,6.0
55Mn,3871.3,20.0,5.0
55Mn,4051.8,19.0,4.0
55Mn,4250.9,19.0,4.0
55Mn,2158.57,18.0,3.0
55Mn,3895.2,18.0,5.0
55Mn,4197.9,17.0,4.0
55Mn,486.47,15.6,2.3
55Mn,3548.2,15.0,4.0
55Mn,3572.6,13.0,4.0
55Mn,128.95,12.200000000000001,1.5
55Mn,3159.1,12.0,5.0
55Mn,3145.1,12.0,4.0
55Mn,113.21,10.9,1.8
55Mn,3953.1,9.0,3.0
55Mn,110.46,8.5,1.1
55Mn,2545.7,5.0,3.0
55Mn,145.28,4.1000000000000005,1.1
56Fe,7631.136,653.0,13.0
56Fe,7645.545,549.0,11.0
56Fe,352.347,273.0,3.0
56Fe,6018.532,227.0,5.0
56Fe,5920.449,225.0,5.0
56Fe,1725.288,181.0,3.0
56Fe,1612.786,153.0,2.2
56Fe,14.411,149.0,3.0
56Fe,691.96,137.0,1.8
56Fe,7278.838,137.0,4.0
56Fe,4218.27,99.0,3.0
56Fe,122.077,96.0,3.0
56Fe,1260.448,68.4,1.1
56Fe,898.27,54.0,1.0
56Fe,1018.93,50.7,1.1
56Fe,366.758,49.7,0.7
56Fe,4406.07,45.3,1.3
56Fe,3436.66,45.0,4.0
56Fe,3413.13,44.900000000000006,1.4
56Fe,4809.99,41.6,1.3
56Fe,2721.21,38.4,1.3
56Fe,3267.25,36.7,1.3
56Fe,3921.5,36.0,4.0
56Fe,3854.51,33.300000000000004,1.2
56Fe,230.27,27.400000000000002,0.5
56Fe,1358.54,21.1,0.6
56Fe,2129.47,20.6,0.7
56Fe,920.839,19.900000000000002,0.6
56Fe,6380.67,18.700000000000003,2.0
56Fe,3185.86,18.3,0.8
56Fe,4948.7,17.3,1.0
56Fe,3103.26,17.2,0.7
56Fe,4463.01,16.2,1.1
56Fe,2755.93,15.0,5.0
56Fe,2066.08,14.6,0.7
56Fe,2832.84,14.200000000000001,2.2
56Fe,4274.74,14.1,0.8
56Fe,569.885,13.899999999999999,0.3
56Fe,4674.99,12.5,1.1
56Fe,136.488,11.799999999999999,0.3
56Fe,2682.69,11.4,0.9
56Fe,2526.34,11.2,0.5
56Fe,2954.12,11.0,0.7
56Fe,3225.33,10.5,0.7
56Fe,1627.197,10.0,0.5
56Fe,2873.0,9.9,1.4
56Fe,3356.67,9.799999999999999,0.6
56Fe,3239.74,9.4,1.3
56Fe,3168.4,9.2,0.7
56Fe,2697.1,9.0,0.9
56Fe,3842.43,8.6,0.7
56Fe,1965.39,7.8,1.4
56Fe,3776.9,7.5,0.7
56Fe,4724.54,7.5,1.1
56Fe,1722.38,7.4,0.6
56Fe,3291.06,7.2,0.6
56Fe,2835.82,6.7,1.4
56Fe,657.46,6.7,1.8
56Fe,1810.54,6.7,0.7
56Fe,4378.56,6.7,0.6
56Fe,1674.53,6.4,0.4
56Fe,2091.24,6.3,0.4
56Fe,2391.57,5.8999999999999995,0.9
56Fe,564.19,5.8999999999999995,0.8
56Fe,1197.1,5.8,0.5
56Fe,706.371,5.6,0.3
56Fe,803.09,5.6,0.4
56Fe,834.94,5.6,0.6
56Fe,1655.16,5.1000000000000005,0.4
56Fe,575.24,5.0,3.0
56Fe,5042.3,4.8,1.6
56Fe,3502.2,4.8,1.6
56Fe,2192.54,4.6,0.4
56Fe,2138.34,4.6,1.2
56Fe,2197.75,4.6,1.4
56Fe,2574.5,4.6,0.4
56Fe,5046.1,4.6,1.6
56Fe,4072.68,4.5,0.6
56Fe,603.48,4.3,0.8
56Fe,2415.36,4.3,0.7
56Fe,339.616,4.09,0.23
56Fe,2112.96,4.0,0.6
56Fe,1710.877,3.8,0.4
56Fe,601.09,3.8,1.0
56Fe,2385.81,3.8,0.4
56Fe,2203.26,3.5,1.5
56Fe,1382.1,3.5,0.5
56Fe,1355.2,3.5,1.1
56Fe,1369.3,3.5,0.9
56Fe,4658.45,3.5,0.5
56Fe,1250.61,3.4,0.3
56Fe,3060.81,3.4,0.4
56Fe,2407.6,3.4,0.9
56Fe,2821.41,3.2,0.5
56Fe,2214.93,3.2,1.3
56Fe,2734.75,3.2,0.5
56Fe,3014.68,3.2,0.8
56Fe,870.65,3.1,0.3
56Fe,3664.08,3.1,0.5
56Fe,2104.26,3.0,0.3
56Fe,1584.42,3.0,0.3
56Fe,3025.9,2.9,0.5
56Fe,3071.8,2.9,1.6
56Fe,2969.9,2.8,0.5
56Fe,2653.36,2.8,0.4
56Fe,2081.18,2.7,0.9
56Fe,1284.71,2.7,1.6
56Fe,3981.74,2.7,0.7
56Fe,1215.36,2.7,0.7
56Fe,2516.5,2.7,1.1
56Fe,1974.45,2.7,0.3
56Fe,4854.78,2.7,1.3
56Fe,2424.28,2.7,0.7
56Fe,4323.35,2.7,0.5
56Fe,2206.95,2.6,0.3
56Fe,4555.21,2.6,0.7
56Fe,1825.73,2.4,0.8
56Fe,2816.07,2.4,0.8
56Fe,1115.56,2.4,0.4
56Fe,1300.82,2.4,0.8
56Fe,5315.85,2.4,1.3
56Fe,460.28,2.32,0.17
56Fe,992.72,2.3,0.3
56Fe,2604.08,2.3,0.5
56Fe,1110.9,2.3,0.3
56Fe,2537.35,2.1,0.7
56Fe,212.0,2.1,0.6
56Fe,1448.5,2.1,0.6
56Fe,1980.97,2.1,0.6
56Fe,1461.44,2.1,0.3
56Fe,2484.84,2.1,0.8
56Fe,2467.0,2.1,0.9
56Fe,2564.4,2.0,0.4
56Fe,1281.3,2.0,0.3
56Fe,839.2,1.9,0.5
56Fe,2463.2,1.9,0.6
56Fe,1814.03,1.9,0.7
56Fe,1305.14,1.9,0.7
56Fe,2582.04,1.9,0.4
56Fe,2944.21,1.9,0.4
56Fe,4209.16,1.9,0.8
56Fe,4824.67,1.9,0.9
56Fe,734.69,1.81,0.2
56Fe,4194.75,1.8,0.6
56Fe,2164.17,1.7,0.3
56Fe,1850.92,1.6,0.5
56Fe,1493.32,1.6,0.4
56Fe,1346.1,1.6,0.4
56Fe,1645.84,1.6,0.3
56Fe,1929.7,1.6,0.7
56Fe,2347.1,1.6,1.0
56Fe,1836.45,1.6,0.5
56Fe,1899.1,1.6,0.7
56Fe,2481.8,1.6,0.6
56Fe,988.0,1.41,0.24000000000000002
56Fe,1263.36,1.4,0.24000000000000002
56Fe,702.75,1.3,0.7
56Fe,2620.62,1.3,0.6
56Fe,975.9,1.3,1.0
56Fe,1022.12,1.3,0.4
56Fe,2934.94,1.3,0.6
56Fe,1026.42,1.3,0.4
56Fe,2096.3,1.3,1.0
56Fe,1361.7,1.3,0.8
56Fe,1701.73,1.3,0.3
56Fe,2033.2,1.3,0.7
56Fe,1486.1,1.3,0.3
56Fe,1855.97,1.3,0.4
56Fe,2186.7,1.3,0.3
56Fe,3611.09,1.3,0.7
56Fe,3509.25,1.3,0.9
56Fe,2692.4,1.2,0.5
56Fe,251.15,1.1,0.3
56Fe,1976.43,1.1,0.6
56Fe,847.96,1.1,0.3
56Fe,1457.57,1.1,0.4
56Fe,1077.5,1.1,0.3
56Fe,336.1,1.1,0.4
56Fe,2507.0,1.1,0.4
56Fe,3048.3,1.1,0.3
56Fe,2490.67,0.8,0.4
56Fe,2599.7,0.8,0.4
56Fe,1990.75,0.8,0.4
56Fe,1828.72,0.8,0.6
56Fe,1041.2,0.8,0.3
56Fe,1704.16,0.8,0.3
56Fe,1007.55,0.8,0.4
56Fe,1120.3,0.78,0.21000000000000002
56Fe,884.79,0.57,0.2
56Fe,941.95,0.5,0.3
56Fe,1160.7,0.5,0.3
56Fe,1255.96,0.5,0.3
56Fe,722.89,0.3,0.3
57Fe,810.71,27.400000000000002,0.9
57Fe,3486.74,11.4,0.6
57Fe,863.8,7.2,0.4
57Fe,1674.49,7.0,10.0
57Fe,1674.31,7.0,10.0
57Fe,867.4,7.0,8.0
57Fe,2138.01,6.3,0.5
57Fe,8369.48,5.0,0.7
57Fe,7262.33,4.7,1.0
57Fe,6959.86,4.0,8.0
57Fe,2273.57,3.9,0.8
57Fe,5493.96,3.7,0.9
57Fe,4297.4,3.6,0.5
57Fe,1237.81,3.5,0.3
57Fe,6507.04,3.4,0.7
57Fe,5043.75,3.3,0.6
57Fe,1971.08,3.2,0.3
57Fe,2065.32,3.0,4.0
57Fe,3070.7,2.9,0.4
57Fe,2726.43,2.2,0.5
57Fe,3326.04,1.9,0.4
57Fe,4138.88,1.5,0.5
57Fe,1446.03,1.4,2.5
57Fe,2433.2,1.4,0.4
57Fe,1446.07,1.4,0.3
57Fe,4626.6,1.3,1.6
57Fe,6162.8,1.3,2.5
57Fe,4749.7,1.2,1.6
57Fe,1107.3,1.09,0.24000000000000002
57Fe,4822.04,1.0,1.6
57Fe,5691.6,1.0,1.7
57Fe,5722.18,1.0,1.7
57Fe,5746.77,1.0,1.7
57Fe,525.07,0.71,0.13999999999999999
57Fe,1322.9,0.4,0.8
58Ni,8998.414,1490.0,30.0
58Ni,464.978,843.0,10.0
58Ni,8533.509,721.0,13.0
58Ni,877.977,236.0,3.0
58Ni,339.42,167.0,2.1
58Ni,8120.567,133.0,3.0
58Ni,5817.219,109.0,2.2
58Ni,6583.831,83.0,2.0
58Ni,6105.215,70.6,1.7
58Ni,1188.781,55.9,0.9
58Ni,5312.674,53.6,1.3
58Ni,1301.434,52.0,3.0
58Ni,1949.911,47.6,1.0
58Ni,2842.13,46.300000000000004,1.0
58Ni,4858.59,44.2,1.0
58Ni,2554.116,43.1,0.9
58Ni,7697.163,37.400000000000006,1.4
58Ni,3675.24,28.1,0.7
58Ni,5973.06,25.8,0.8
58Ni,1340.23,20.0,0.5
58Ni,1536.92,19.400000000000002,0.5
58Ni,5435.77,18.8,0.6
58Ni,1734.687,17.2,0.4
58Ni,3221.146,15.7,1.1
58Ni,4030.14,14.5,0.5
58Ni,1992.794,13.2,0.5
58Ni,1226.118,12.6,0.4
58Ni,3025.68,12.6,0.5
58Ni,2414.872,12.1,0.4
58Ni,3181.532,12.1,0.4
58Ni,3929.98,12.0,0.4
58Ni,4283.67,12.0,0.4
58Ni,2147.74,11.9,0.5
58Ni,2015.576,11.700000000000001,0.4
58Ni,3686.096,11.299999999999999,0.4
58Ni,2685.06,10.8,0.5
58Ni,423.464,10.200000000000001,0.21000000000000002
58Ni,5268.55,9.799999999999999,0.5
58Ni,836.463,8.94,0.22
58Ni,2968.52,8.6,0.4
58Ni,2808.164,8.4,0.4
58Ni,4715.11,8.200000000000001,0.4
58Ni,2428.563,7.7,0.4
58Ni,3367.03,7.6,0.3
58Ni,4140.19,7.3,0.7
58Ni,3779.94,7.3,0.4
58Ni,4977.0,7.3,0.3
58Ni,3563.0,7.0,0.3
58Ni,7263.956,6.8999999999999995,0.3
58Ni,2384.719,6.8,0.4
58Ni,2497.369,6.8,0.4
58Ni,3381.8,6.6,0.3
58Ni,3346.697,6.5,0.3
58Ni,3265.27,5.91,0.24000000000000002
58Ni,3614.32,5.37,0.22
58Ni,2400.74,5.3,0.4
58Ni,3296.68,5.08,0.25
58Ni,1395.276,5.0,0.22
58Ni,3037.93,4.58,0.21000000000000002
58Ni,3041.8,4.57,0.24000000000000002
58Ni,2303.592,4.5,0.5
58Ni,1880.143,4.3,0.3
58Ni,1679.642,3.9,0.3
58Ni,5145.18,3.8600000000000003,0.19
58Ni,5621.42,3.81,0.21000000000000002
58Ni,2857.55,3.67,0.24000000000000002
58Ni,3200.57,3.64,0.17
58Ni,4646.5,3.64,0.17
58Ni,4745.94,3.5500000000000003,0.17
58Ni,2897.67,3.5100000000000002,0.23
58Ni,545.918,3.49,0.17
58Ni,538.56,3.4,0.17
58Ni,4190.89,3.27,0.15
58Ni,5109.2,3.26,0.15
58Ni,3004.9,3.25,0.16
58Ni,1704.776,3.21,0.23
58Ni,5068.8,3.19,0.17
58Ni,3730.22,2.9499999999999997,0.13999999999999999
58Ni,6597.96,2.9,0.15
58Ni,1269.72,2.85,0.22
58Ni,849.367,2.72,0.15
58Ni,2716.578,2.7,0.3
58Ni,766.694,2.69,0.13999999999999999
58Ni,1213.916,2.5300000000000002,0.19
58Ni,1728.77,2.5300000000000002,0.19
58Ni,2075.465,2.46,0.18000000000000002
58Ni,2178.55,2.4,0.3
58Ni,5458.8,2.37,0.12000000000000001
58Ni,5616.96,2.22,0.17
58Ni,3244.32,2.21,0.11
58Fe,287.025,2.18,0.15
58Ni,3143.85,2.13,0.11
58Ni,3800.79,2.13,0.12000000000000001
58Ni,4252.84,2.12,0.12000000000000001
58Ni,3063.58,2.0,0.12000000000000001
58Ni,5546.39,1.95,0.09000000000000001
58Ni,3377.34,1.89,0.12000000000000001
58Ni,2951.47,1.88,0.17
58Ni,4375.72,1.88,0.09000000000000001
58Ni,6141.19,1.8,0.6
58Ni,4352.28,1.7799999999999998,0.12999999999999998
58Ni,5956.94,1.74,0.09000000000000001
58Ni,3514.2,1.72,0.09000000000000001
58Ni,3889.57,1.72,0.09000000000000001
58Fe,6293.64,1.7,0.0
58Ni,1379.0,1.7,0.3
58Ni,4805.17,1.7,0.3
58Ni,3667.29,1.6,0.09000000000000001
58Ni,1362.77,1.6,0.3
58Ni,1113.465,1.5399999999999998,0.16
58Ni,310.81,1.5,1.5
58Ni,155.86,1.5,1.5
58Ni,288.027,1.5,1.5
58Ni,1816.89,1.5,0.3
58Ni,6030.22,1.5,0.3
58Ni,4503.7,1.45,0.13999999999999999
58Ni,1114.56,1.42,0.15
58Ni,5152.32,1.4,0.3
58Ni,3452.37,1.35,0.08
58Ni,5362.69,1.35,0.060000000000000005
58Ni,1592.124,1.3,0.13999999999999999
58Ni,712.92,1.3,0.3
58Ni,3853.6,1.2899999999999998,0.060000000000000005
58Ni,2050.65,1.28,0.15
58Ni,3262.26,1.28,0.16
58Ni,4250.17,1.25,0.11
58Ni,2287.75,1.2,0.4
58Ni,3787.89,1.1900000000000002,0.12000000000000001
58Ni,4506.55,1.1900000000000002,0.12999999999999998
58Ni,5702.07,1.16,0.08
58Ni,5292.34,1.14,0.060000000000000005
58Ni,3390.83,1.13,0.1
58Ni,4428.27,1.1,0.12999999999999998
58Ni,6258.58,1.1,0.4
58Ni,3388.65,1.07,0.1
58Ni,4021.78,1.0399999999999998,0.16
58Ni,4919.52,1.01,0.08
58Ni,6391.99,1.01,0.08
58Ni,2574.44,0.95,0.12999999999999998
58Ni,3767.46,0.95,0.08
58Ni,3952.21,0.95,0.08
58Ni,5045.06,0.8899999999999999,0.08
58Ni,5993.84,0.86,0.16
58Ni,723.81,0.85,0.09000000000000001
58Ni,4019.87,0.83,0.25
58Ni,5223.17,0.82,0.060000000000000005
58Ni,5140.65,0.7699999999999999,0.06999999999999999
58Fe,726.45,0.75,0.0
58Ni,3858.13,0.74,0.06999999999999999
58Ni,5384.45,0.74,0.06999999999999999
58Ni,3136.86,0.74,0.13999999999999999
58Ni,2300.34,0.71,0.12000000000000001
58Ni,5079.04,0.71,0.05
58Ni,2301.44,0.71,0.12000000000000001
58Ni,4824.17,0.68,0.05
58Ni,2616.67,0.66,0.12000000000000001
58Ni,2560.73,0.65,0.09000000000000001
58Ni,1901.63,0.65,0.15
58Ni,2541.5,0.62,0.09000000000000001
58Ni,5277.57,0.62,0.05
58Ni,840.29,0.6,0.12000000000000001
58Ni,4629.25,0.5599999999999999,0.04
58Ni,5754.43,0.5599999999999999,0.05
58Ni,4295.67,0.5599999999999999,0.1
58Ni,5565.29,0.5599999999999999,0.11
58Fe,5854.26,0.55,0.0
58Ni,2912.38,0.53,0.060000000000000005
58Ni,2764.02,0.53,0.19
58Ni,1836.94,0.5,0.21000000000000002
58Ni,1838.05,0.5,0.21000000000000002
58Ni,3163.57,0.5,0.04
58Ni,4729.41,0.5,0.04
58Ni,2738.35,0.5,0.06999999999999999
58Ni,4728.9,0.5,0.09000000000000001
58Ni,843.62,0.5,0.2
58Ni,4083.12,0.47,0.04
58Ni,5631.73,0.47,0.04
58Ni,801.678,0.44,0.060000000000000005
58Ni,3050.92,0.44,0.04
58Ni,2254.53,0.44,0.09000000000000001
58Ni,1132.53,0.44,0.12000000000000001
58Ni,2460.62,0.42000000000000004,0.08
58Ni,3526.41,0.42000000000000004,0.04
58Ni,5676.26,0.42000000000000004,0.13999999999999999
58Ni,1567.96,0.42000000000000004,0.09000000000000001
58Ni,2987.42,0.39,0.060000000000000005
58Ni,2504.72,0.39,0.06999999999999999
58Ni,1148.18,0.37,0.06999999999999999
58Ni,4603.86,0.36000000000000004,0.030000000000000002
58Ni,2450.34,0.36000000000000004,0.060000000000000005
58Ni,1604.78,0.36000000000000004,0.1
58Ni,4841.54,0.36000000000000004,0.06999999999999999
58Ni,1864.99,0.35,0.08
58Ni,3112.97,0.33,0.060000000000000005
58Ni,2980.2,0.33,0.030000000000000002
58Ni,2287.16,0.33,0.11
58Ni,857.04,0.33,0.09000000000000001
58Ni,3234.05,0.33,0.030000000000000002
58Ni,4090.73,0.33,0.030000000000000002
58Ni,2723.58,0.33,0.060000000000000005
58Ni,4314.33,0.33,0.060000000000000005
58Ni,2247.62,0.33,0.11
58Ni,3411.98,0.33,0.030000000000000002
58Fe,4661.85,0.3,0.0
58Ni,827.96,0.3,0.09000000000000001
58Ni,3937.44,0.3,0.030000000000000002
58Ni,5636.13,0.3,0.04
58Ni,2662.03,0.27999999999999997,0.060000000000000005
58Ni,1717.74,0.27,0.09000000000000001
58Ni,4565.75,0.27,0.06999999999999999
58Ni,4244.42,0.27,0.030000000000000002
58Fe,5418.64,0.25999999999999995,0.0
58Ni,3897.16,0.24000000000000002,0.030000000000000002
58Ni,4443.04,0.24000000000000002,0.030000000000000002
58Fe,1918.95,0.21000000000000002,0.0
58Ni,1616.53,0.21000000000000002,0.09000000000000001
58Ni,3334.22,0.21000000000000002,0.030000000000000002
58Ni,5166.79,0.21000000000000002,0.030000000000000002
58Ni,4453.1,0.21000000000000002,0.060000000000000005
58Ni,5115.95,0.21000000000000002,0.05
58Fe,570.9,0.18000000000000002,0.0
58Ni,1158.87,0.18000000000000002,0.060000000000000005
58Ni,2975.67,0.18000000000000002,0.030000000000000002
58Ni,3011.64,0.18000000000000002,0.030000000000000002
58Ni,3913.44,0.18000000000000002,0.030000000000000002
58Ni,4753.83,0.18000000000000002,0.030000000000000002
58Ni,1210.76,0.15,0.060000000000000005
58Ni,3880.1,0.15,0.030000000000000002
58Ni,3704.92,0.15,0.030000000000000002
58Ni,1595.3,0.15,0.060000000000000005
58Ni,4912.39,0.15,0.04
58Ni,3817.74,0.15,0.030000000000000002
58Ni,5590.4,0.15,0.030000000000000002
58Fe,4133.6,0.12999999999999998,0.0
58Fe,4618.83,0.12999999999999998,0.0
58Fe,6580.63,0.12999999999999998,0.0
58Fe,591.21,0.12000000000000001,0.0
58Ni,2518.23,0.12000000000000001,0.030000000000000002
58Ni,4222.39,0.12000000000000001,0.030000000000000002
58Ni,3584.01,0.12000000000000001,0.030000000000000002
58Ni,4330.4,0.09000000000000001,0.030000000000000002
