Isotope,Energy (keV),Sigma (b),DSigma (b)
77Se,5106.74,0.0073,0.0016
77Se,5141.02,0.0047,0.0011
77Se,5157.83,0.0082,0.0019
77Se,5202.28,0.007,0.0015
77Se,5207.39,0.0038,0.001
77Se,5317.0,0.0067,0.0004
77Se,5333.41,0.0097,0.0007
77Se,5370.83,0.018,0.0016
77Se,5396.31,0.0019,0.0004
77Se,5406.69,0.0028,0.0004
77Se,5467.71,0.0082,0.0009
77Se,5475.29,0.0032,0.0007
77Se,5492.8,0.0095,0.0009
77Se,5499.28,0.0127,0.0011
77Se,5525.19,0.0013,0.0003
77Se,5540.32,0.0022,0.0007
77Se,5685.16,0.0076,0.0008
77Se,5706.33,0.0117,0.0011
77Se,5709.56,0.0165,0.0014
77Se,5774.51,0.0201,0.0011
77Se,5800.53,0.0073,0.0008
77Se,5807.1,0.0117,0.0009
77Se,5813.24,0.0269,0.0013
77Se,5825.03,0.0044,0.0007
77Se,5968.74,0.0095,0.0008
77Se,6028.46,0.0168,0.001
77Se,6049.2,0.0291,0.0013
77Se,6110.58,0.0104,0.0012
77Se,6130.93,0.0092,0.0012
77Se,6155.97,0.0105,0.0007
77Se,6200.01,0.0063,0.0008
77Se,6244.07,0.043,0.003
77Se,6315.3,0.044,0.003
77Se,6344.53,0.0127,0.001
77Se,6417.6,0.0032,0.0004
77Se,6460.45,0.0149,0.0008
77Se,6498.52,0.047,0.004
77Se,6537.61,0.0016,0.0003
77Se,6602.72,0.0165,0.0015
77Se,6762.31,0.0148,0.0008
77Se,6811.0,0.0257,0.0022
77Se,6873.33,0.0158,0.0017
77Se,6905.75,0.0234,0.0022
77Se,6973.6,0.0095,0.001
77Se,7046.57,0.0101,0.0011
77Se,7057.92,0.0108,0.0011
77Se,7113.76,0.037,0.003
77Se,7209.15,0.056,0.003
77Se,7242.54,0.0101,0.0009
77Se,7254.92,0.012,0.0012
77Se,7310.91,0.0098,0.0009
77Se,7407.62,0.0013,0.0003
77Se,7491.71,0.0295,0.0015
77Se,7599.23,0.0142,0.0009
77Se,7658.97,0.0188,0.0011
77Se,7743.47,0.0161,0.0013
77Se,7815.19,0.0032,0.0004
77Se,7960.24,0.0159,0.001
77Se,8162.11,0.058,0.003
77Se,8170.0,0.054,0.004
77Se,8501.35,0.048,0.003
77Se,8738.54,0.0019,0.0003
77Se,8998.59,0.007,0.0008
77Se,9188.52,0.15,0.008
77Se,9883.35,0.22,0.022
77Se,10496.99,0.0221,0.0025
78Se,136.65,0.005,0.0018
78Se,432.12,0.0227,0.0015
78Se,1146.3,0.018,0.003
78Se,2526.33,7.1e-05,0.0
78Se,2552.15,5.6e-05,0.0
78Se,2697.23,4.3e-05,0.0
78Se,2737.96,3.7e-05,0.0
78Se,2539.6,9.3e-05,0.0
78Se,2806.8,2.8e-05,0.0
78Se,2935.47,2.8e-05,0.0
78Se,2546.96,6.8e-05,0.0
78Se,2811.43,3.7e-05,0.0
78Se,3409.6,2.2e-05,0.0
78Se,3427.28,3.7e-05,0.0
78Se,2954.31,3.1e-05,0.0
78Se,3286.3,3.1e-05,0.0
78Se,3399.02,3.4e-05,0.0
78Se,3457.41,2.3e-05,0.0
78Se,3788.35,3.7e-05,0.0
78Se,3793.5,2.8e-05,0.0
78Se,3902.59,2.6e-05,0.0
78Se,3931.55,2.7e-05,0.0
78Se,4000.2,4.6e-05,0.0
78Se,4060.2,6.8e-05,0.0
78Se,4129.06,2.2e-05,0.0
78Se,4274.14,3.3e-05,0.0
78Se,4299.96,6.9e-05,0.0
78Se,5165.75,0.00016,0.0
78Se,5224.12,0.00014,0.0
78Se,5366.36,1.5e-05,0.0
78Se,5436.63,6.7e-05,0.0
78Se,5873.79,0.0003,0.0
78Se,5882.41,1.4e-05,0.0
78Se,6434.79,0.00017,0.0
78Se,6462.9,2.5e-05,0.0
78Se,6866.87,0.00085,0.0
80Se,191.4,0.0019,0.0003
80Se,467.81,0.128,0.004
80Se,388.46,0.002,0.0003
80Se,491.33,0.018,0.003
80Se,156.53,0.0039,0.0011
80Se,264.95,0.00047,0.00022
80Se,398.0,0.00041,0.00022
80Se,786.4,0.0053,0.0014
80Se,889.29,0.002,0.0008
80Se,757.9,0.0086,0.0022
80Se,949.3,0.0036,0.0009
80Se,765.61,0.0091,0.0011
80Se,1233.42,0.001,0.0003
80Se,813.6,0.00082,0.00022
80Se,837.1,0.0032,0.0007
80Se,1202.0,0.037,0.003
80Se,915.3,0.00029,0.00022
80Se,938.8,0.00105,0.00023
80Se,1406.6,0.014,0.003
80Se,650.4,0.0005,0.00022
80Se,1086.8,0.0007,0.0003
80Se,1211.2,0.002,0.0022
80Se,1599.7,0.00102,0.00023
80Se,1702.6,0.001,0.0006
80Se,1243.54,0.0019,0.0003
80Se,1711.35,0.0016,0.0005
80Se,491.46,0.022,0.003
80Se,672.7,0.0015,0.0003
80Se,1257.07,0.004,0.003
80Se,1724.88,0.044,0.005
80Se,938.8,5.8e-05,1.1e-05
80Se,1360.2,0.0007,0.0003
80Se,1828.1,0.0011,0.0003
80Se,1549.7,0.0009,0.0003
80Se,1706.3,0.0015,0.0003
80Se,948.2,0.0036,0.0009
80Se,1628.8,0.0008,0.0003
80Se,1637.3,0.0011,0.0004
80Se,1785.3,0.009,0.003
80Se,1958.8,0.0012,0.0004
80Se,2150.2,0.0009,0.0004
80Se,1841.8,0.0008,0.0003
80Se,1865.3,0.011,0.004
80Se,1892.2,0.0007,0.0003
80Se,1162.6,0.002,0.0017
80Se,2569.1,0.008,0.003
80Se,1367.1,0.001,0.0003
80Se,1884.4,0.0015,0.0003
80Se,2149.3,0.0009,0.0004
80Se,2484.5,0.015,0.004
80Se,3175.3,0.0034,0.0011
80Se,3748.5,0.005,0.0022
80Se,4131.6,0.0024,0.0008
80Se,4367.7,0.0058,0.0022
80Se,4447.7,0.0054,0.0014
80Se,4975.9,0.015,0.005
80Se,4998.2,0.0013,0.0008
80Se,5294.1,0.0006,0.0006
80Se,5467.3,0.0013,0.0008
80Se,6232.9,0.1,0.03
79Br,37.054,0.16,0.01
79Br,219.377,0.399,0.014
79Br,234.32,0.205,0.01
79Br,271.374,0.462,0.007
79Br,244.237,0.45,0.03
79Br,223.627,0.153,0.005
79Br,43.609,0.0038,0.0005
79Br,314.982,0.46,0.009
79Br,245.203,0.8,0.03
79Br,50.112,0.0081,0.0006
79Br,74.972,0.0323,0.0007
79Br,294.349,0.116,0.0022
79Br,95.231,0.0023,0.0003
79Br,110.174,0.0034,0.0004
79Br,329.551,0.0213,0.0016
79Br,366.604,0.233,0.006
79Br,99.168,0.0063,0.0003
79Br,124.028,0.0268,0.0005
79Br,343.405,0.118,0.004
79Br,104.439,0.0037,0.0003
79Br,299.886,0.08,0.0
79Br,59.471,0.202,0.005
79Br,90.639,0.0029,0.0003
79Br,75.916,0.0029,0.0005
79Br,146.904,0.0184,0.0007
79Br,156.485,0.0009,0.0004
79Br,175.084,0.0173,0.0012
79Br,370.531,0.0171,0.0009
79Br,137.578,0.0019,0.0002
79Br,153.998,0.0012,0.0005
79Br,187.69,0.001,0.0004
79Br,197.607,0.0175,0.0011
79Br,468.98,0.29,0.03
79Br,78.754,0.0005,0.0002
79Br,88.812,0.0014,0.0002
79Br,159.8,0.0232,0.0007
79Br,187.98,0.0019,0.0003
79Br,432.216,0.0783,0.0014
79Br,112.426,0.002,0.0003
79Br,126.28,0.0174,0.0004
79Br,161.482,0.001,0.0003
79Br,192.995,0.0047,0.0009
79Br,211.594,0.0454,0.0021
79Br,221.511,0.004,0.0004
79Br,236.454,0.0372,0.0023
79Br,455.83,0.023,0.0013
79Br,492.884,0.0292,0.001
79Br,190.604,0.0043,0.0014
79Br,218.785,0.019,0.008
79Br,414.04,0.0332,0.0017
79Br,137.557,0.0029,0.0005
79Br,143.403,0.0016,0.0003
79Br,213.816,0.0104,0.0011
79Br,437.5,0.0014,0.0003
79Br,80.579,0.0038,0.0003
79Br,159.044,0.0171,0.0007
79Br,240.089,0.007,0.0011
79Br,278.186,0.0238,0.0014
79Br,549.559,0.0593,0.0014
79Br,187.201,0.0013,0.0003
79Br,263.46,0.0105,0.0025
79Br,195.602,0.434,0.014
79Br,74.444,0.0027,0.0003
79Br,111.003,0.0008,0.0003
79Br,191.582,0.0025,0.0004
79Br,345.58,0.023,0.004
79Br,389.189,0.0486,0.0013
79Br,660.561,0.082,0.003
79Br,182.83,0.0013,0.0
79Br,226.53,0.008,0.002
79Br,303.02,0.008,0.003
79Br,373.44,0.014,0.0019
79Br,408.55,0.0116,0.002
79Br,255.005,0.0013,0.0005
79Br,357.381,0.0043,0.0006
79Br,409.002,0.015,0.002
79Br,452.611,0.0679,0.0024
79Br,686.93,0.014,0.003
79Br,723.983,0.019,0.003
79Br,257.779,0.002,0.0003
79Br,346.591,0.0034,0.0013
79Br,360.445,0.0078,0.0008
79Br,395.647,0.0023,0.0008
79Br,445.759,0.0035,0.0008
79Br,470.619,0.018,0.003
79Br,689.994,0.083,0.004
79Br,181.589,0.004,0.0009
79Br,262.168,0.0047,0.0013
79Br,364.544,0.0036,0.0018
79Br,399.746,0.0023,0.0012
79Br,459.775,0.0455,0.0019
79Br,731.147,0.0139,0.0006
79Br,370.53,0.0171,0.0019
79Br,105.326,0.0037,0.0003
79Br,296.908,0.0307,0.0015
79Br,450.906,0.017,0.0013
79Br,81.149,0.0007,0.0002
79Br,144.571,0.0005,0.0002
79Br,312.249,0.0054,0.0011
79Br,438.529,0.0076,0.0004
79Br,227.771,0.0013,0.0003
79Br,344.908,0.0074,0.0015
79Br,423.372,0.0027,0.001
79Br,542.515,0.114,0.005
79Br,377.397,0.01,0.0019
79Br,494.204,0.0044,0.0005
79Br,170.297,0.0016,0.0008
79Br,361.878,0.0046,0.0009
79Br,464.254,0.0034,0.0013
79Br,793.803,0.0077,0.0008
79Br,830.856,0.0413,0.0012
79Br,274.532,0.158,0.003
79Br,311.09,0.008,0.0012
79Br,494.045,0.009,0.005
79Br,529.247,0.0321,0.0009
79Br,545.667,0.0094,0.0014
79Br,589.276,0.002,0.0008
79Br,883.6,0.0278,0.001
79Br,184.071,0.0009,0.0004
79Br,247.493,0.0052,0.0008
79Br,321.937,0.0262,0.0018
79Br,358.496,0.005,0.002
79Br,636.681,0.018,0.004
79Br,190.593,0.0067,0.0009
79Br,254.015,0.003,0.0006
79Br,583.174,0.006,0.0007
79Br,643.203,0.0054,0.0015
79Br,914.574,0.0508,0.0014
79Br,50.402,0.0021,0.0006
79Br,106.111,0.0004,0.0002
79Br,127.599,0.0022,0.0004
79Br,702.025,0.0648,0.0014
79Br,140.858,0.0016,0.0005
79Br,205.829,0.0006,0.0003
79Br,247.732,0.0035,0.0007
79Br,385.598,0.0232,0.0009
79Br,422.157,0.0073,0.0019
79Br,502.736,0.0035,0.0007
79Br,504.431,0.0042,0.0007
79Br,630.71,0.0224,0.0013
79Br,960.258,0.0038,0.0007
79Br,49.592,0.0005,0.0002
79Br,106.732,0.0015,0.0004
79Br,255.421,0.0037,0.0022
79Br,721.417,0.026,0.006
79Br,63.932,0.0008,0.0003
79Br,256.501,0.0012,0.0005
79Br,285.255,0.0016,0.0005
79Br,436.271,0.005,0.0004
79Br,707.406,0.0067,0.0015
79Br,751.014,0.029,0.003
79Br,765.957,0.0537,0.0016
79Br,1022.385,0.0167,0.0014
79Br,684.94,0.012,0.002
79Br,1051.54,0.0068,0.0009
79Br,138.99,0.0009,0.0003
79Br,222.71,0.0014,0.0011
79Br,393.0,0.0028,0.001
79Br,560.68,0.0074,0.0011
79Br,204.551,0.0012,0.001
79Br,341.216,0.0016,0.0008
79Br,479.082,0.018,0.009
79Br,755.728,0.0126,0.0017
79Br,223.2,0.0017,0.0012
79Br,619.17,0.0308,0.0012
79Br,819.12,0.006,0.0008
79Br,119.606,0.00123,0.00023
79Br,303.033,0.0019,0.0006
79Br,567.361,0.005,0.0008
79Br,860.488,0.045,0.0019
79Br,171.659,0.0005,0.0002
79Br,235.321,0.0006,0.0004
79Br,482.813,0.012,0.002
79Br,557.257,0.0315,0.0023
79Br,1143.37,0.0225,0.0018
79Br,92.82,0.0003,0.0002
79Br,125.074,0.0003,0.0002
79Br,238.328,0.0013,0.0007
79Br,315.524,0.03,0.008
79Br,419.333,0.0031,0.0007
79Br,889.949,0.0128,0.0017
79Br,233.39,0.0023,0.0011
79Br,382.07,0.0062,0.0009
79Br,678.69,0.0089,0.0019
79Br,876.59,0.0111,0.0007
79Br,1147.96,0.0205,0.0017
79Br,276.15,0.006,0.003
79Br,604.61,0.013,0.005
79Br,919.36,0.016,0.003
79Br,1190.73,0.0216,0.001
79Br,475.93,0.0003,0.0002
79Br,823.1,0.001,0.0005
79Br,888.0,0.0037,0.0008
79Br,921.69,0.0055,0.0009
79Br,136.764,0.0054,0.0005
79Br,158.75,0.0008,0.0004
79Br,160.77,0.0005,0.0002
79Br,297.73,0.0023,0.0011
79Br,845.7,0.0257,0.0021
79Br,931.02,0.0033,0.0017
79Br,1175.25,0.0116,0.0011
79Br,908.97,0.0144,0.0009
79Br,924.06,0.0052,0.0025
79Br,952.58,0.0182,0.0008
79Br,967.52,0.003,0.0007
79Br,277.092,0.0026,0.001
79Br,334.231,0.0075,0.0013
79Br,933.823,0.01,0.003
79Br,977.431,0.013,0.003
79Br,1248.801,0.0527,0.0022
79Br,117.22,0.0008,0.0004
79Br,176.82,0.0022,0.0009
79Br,827.31,0.015,0.003
79Br,850.93,0.0082,0.0014
79Br,1320.19,0.012,0.005
79Br,205.04,0.0008,0.0004
79Br,594.91,0.007,0.003
79Br,865.59,0.0051,0.0014
79Br,1321.96,0.0152,0.0014
79Br,210.88,0.0011,0.0006
79Br,305.27,0.0026,0.001
79Br,498.19,0.0336,0.0013
79Br,809.28,0.0084,0.0022
79Br,1087.46,0.0092,0.001
79Br,1272.99,0.0035,0.0006
79Br,6533.28,0.0196,0.0014
79Br,6570.15,0.0285,0.0013
79Br,6643.3,0.0318,0.0018
79Br,6668.16,0.0306,0.0018
79Br,6689.13,0.0321,0.0014
79Br,6701.38,0.0168,0.001
79Br,6826.9,0.0052,0.0008
79Br,6894.78,0.0101,0.0007
79Br,6977.51,0.011,0.0008
79Br,6984.03,0.0048,0.0006
79Br,7031.43,0.0447,0.0022
79Br,7078.18,0.0566,0.0024
79Br,7126.18,0.0154,0.0015
79Br,7160.92,0.004,0.0006
79Br,7168.08,0.0103,0.0008
79Br,7342.49,0.0025,0.0005
79Br,7422.77,0.0495,0.0018
79Br,7511.57,0.0108,0.0009
79Br,7560.62,0.0043,0.0005
79Br,7577.04,0.108,0.003
79Br,7610.73,0.0093,0.0008
79Br,7620.65,0.0068,0.0007
79Br,7635.59,0.0061,0.0006
79Br,7891.99,0.006,0.0004
81Br,29.113,0.168,0.002
81Br,215.718,0.0044,0.001
81Br,244.831,0.15,0.05
81Br,72.021,0.0121,0.0004
81Br,287.739,0.253,0.004
81Br,57.267,0.0047,0.0005
81Br,345.006,0.154,0.004
81Br,374.118,0.011,0.003
81Br,184.644,0.0258,0.0012
81Br,178.187,0.0009,0.0009
81Br,250.208,0.0145,0.0019
81Br,495.038,0.0342,0.0014
81Br,151.812,0.001,0.0005
81Br,264.435,0.035,0.003
81Br,336.456,0.0011,0.0009
81Br,552.173,0.0161,0.0011
81Br,581.286,0.0231,0.0011
81Br,221.095,0.0123,0.0014
81Br,278.362,0.014,0.005
81Br,350.383,0.0188,0.0015
81Br,566.099,0.0551,0.0012
81Br,595.212,0.0177,0.0011
81Br,148.255,0.0008,0.0004
81Br,643.291,0.0373,0.002
81Br,118.786,0.0011,0.0007
81Br,284.525,0.0014,0.0012
81Br,339.881,0.0134,0.0014
81Br,397.147,0.0125,0.0018
81Br,684.885,0.05,0.003
81Br,687.02,0.0157,0.002
81Br,716.14,0.042,0.0023
81Br,400.906,0.0234,0.0016
81Br,688.643,0.0063,0.0023
81Br,717.756,0.0373,0.0008
81Br,316.851,0.017,0.005
81Br,501.494,0.002,0.003
81Br,133.569,0.0011,0.0007
81Br,181.648,0.0009,0.0006
81Br,402.743,0.017,0.0016
81Br,205.525,0.0009,0.0006
81Br,305.7,0.006,0.0007
81Br,426.619,0.0058,0.0007
81Br,483.886,0.042,0.018
81Br,771.623,0.0066,0.0013
81Br,245.54,0.018,0.004
81Br,466.63,0.008,0.004
81Br,283.5,0.002,0.0011
81Br,910.73,0.04,0.0012
81Br,459.875,0.005,0.006
81Br,207.211,0.0012,0.0007
81Br,329.755,0.006,0.003
81Br,608.115,0.0438,0.0013
81Br,680.136,0.0024,0.0016
81Br,346.986,0.0122,0.0018
81Br,625.346,0.0052,0.001
81Br,932.794,0.0216,0.001
81Br,961.906,0.003,0.0015
81Br,135.76,0.0008,0.0006
81Br,602.393,0.0042,0.0022
81Br,947.396,0.0053,0.0011
81Br,976.508,0.0459,0.0013
81Br,88.06,0.0049,0.0004
81Br,295.27,0.0042,0.0024
81Br,696.18,0.0026,0.0017
81Br,1013.03,0.023,0.003
81Br,393.602,0.0034,0.0007
81Br,455.608,0.0047,0.0023
81Br,541.856,0.0151,0.0023
81Br,1036.89,0.0081,0.0007
81Br,85.267,0.0096,0.0004
81Br,465.89,0.026,0.004
81Br,730.32,0.0033,0.0004
81Br,802.34,0.0021,0.0016
81Br,746.97,0.0091,0.0014
81Br,1034.706,0.0231,0.0009
81Br,1063.818,0.0061,0.0019
81Br,379.988,0.019,0.0011
81Br,498.773,0.0025,0.0007
81Br,308.37,0.0011,0.0007
81Br,391.35,0.0041,0.0015
81Br,734.98,0.006,0.0004
81Br,1079.99,0.035,0.0019
81Br,69.609,0.0008,0.0009
81Br,96.538,0.00122,0.00025
81Br,419.433,0.005,0.003
81Br,538.219,0.0109,0.001
81Br,759.312,0.0032,0.0014
81Br,816.578,0.0191,0.0015
81Br,888.599,0.0224,0.0015
81Br,1133.427,0.011,0.0015
81Br,275.92,0.0009,0.0009
81Br,363.85,0.0011,0.0012
81Br,895.87,0.0213,0.001
81Br,106.712,0.0006,0.0006
81Br,208.625,0.0074,0.001
81Br,228.336,0.0012,0.001
81Br,1141.416,0.0014,0.0021
81Br,255.59,0.0008,0.0006
81Br,315.77,0.022,0.008
81Br,585.34,0.0023,0.0016
81Br,599.27,0.0124,0.0009
81Br,92.638,0.0009,0.0009
81Br,173.59,0.0017,0.0013
81Br,1157.506,0.021,0.0017
81Br,235.71,0.0036,0.0023
81Br,880.76,0.0075,0.0007
81Br,512.488,0.21,0.03
81Br,856.13,0.0081,0.0011
81Br,913.39,0.0018,0.0013
81Br,1201.13,0.0185,0.0008
81Br,1230.24,0.0035,0.0008
81Br,6349.19,0.0168,0.0012
81Br,6360.18,0.015,0.005
81Br,6366.24,0.0064,0.001
81Br,6413.36,0.0136,0.0011
81Br,6437.69,0.0328,0.0017
81Br,6452.806,0.0037,0.0008
81Br,6482.97,0.0041,0.0008
81Br,6533.75,0.0039,0.0014
81Br,6570.27,0.008,0.003
81Br,6604.581,0.006,0.002
81Br,6621.81,0.0104,0.0022
81Br,6746.03,0.0386,0.0016
81Br,6769.905,0.0062,0.0007
81Br,6830.62,0.0057,0.0019
81Br,6832.761,0.0014,0.0007
81Br,6951.537,0.0063,0.0006
81Br,6965.462,0.0026,0.001
81Br,7051.703,0.0059,0.0008
81Br,7117.261,0.0008,0.0006
81Br,7172.612,0.0238,0.0012
81Br,7229.873,0.025,0.0014
81Br,7301.888,0.0101,0.0008
83Kr,881.74,20.8,0.3
83Kr,1016.2,1.08,0.07
83Kr,1897.79,2.24,0.03
83Kr,1213.42,8.28,0.17
83Kr,446.5,0.198,0.015
83Kr,1463.86,7.1,0.08
83Kr,1741.7,0.437,0.019
83Kr,2622.5,0.076,0.019
83Kr,354.7,0.073,0.012
83Kr,605.5,0.398,0.025
83Kr,802.62,1.52,0.022
83Kr,1877.84,0.185,0.012
83Kr,2758.2,0.127,0.022
83Kr,425.3,2.96,0.019
83Kr,765.74,0.12,0.08
83Kr,963.44,0.66,0.022
83Kr,1979.34,1.07,0.022
83Kr,946.5,0.447,0.019
83Kr,2160.48,0.577,0.015
83Kr,382.2,0.183,0.017
83Kr,737.0,0.31,0.06
83Kr,987.69,0.256,0.025
83Kr,2200.86,0.241,0.01
83Kr,1077.55,0.47,0.03
83Kr,1087.8,0.081,0.01
83Kr,2302.5,0.105,0.017
83Kr,448.11,0.59,0.019
83Kr,1124.44,1.42,0.021
83Kr,943.36,0.713,0.008
83Kr,541.5,0.295,0.012
83Kr,612.0,0.42,0.03
83Kr,967.0,0.08,0.03
83Kr,546.98,0.328,0.012
83Kr,637.13,0.251,0.022
83Kr,708.24,0.22,0.021
83Kr,1331.89,0.39,0.06
83Kr,2544.72,0.27,0.03
83Kr,243.7,0.08,0.08
83Kr,367.7,0.532,0.01
83Kr,815.8,0.017,0.007
83Kr,419.4,0.63,0.01
83Kr,463.87,0.073,0.017
83Kr,938.12,0.449,0.021
83Kr,1293.2,0.383,0.025
83Kr,1543.27,0.486,0.017
83Kr,1623.2,0.327,0.015
83Kr,1682.0,0.212,0.017
83Kr,919.79,0.222,0.017
83Kr,1230.82,0.31,0.012
83Kr,1656.15,0.28,0.05
83Kr,902.11,0.137,0.012
83Kr,1443.43,0.237,0.01
83Kr,236.7,0.17,0.07
83Kr,1507.3,0.035,0.01
83Kr,1283.0,0.108,0.017
83Kr,1823.8,0.09,0.019
83Kr,1905.65,0.158,0.012
83Kr,5925.4,0.083,0.0
83Kr,6063.3,0.18,0.0
83Kr,6281.4,0.27,0.0
83Kr,6306.8,0.48,0.0
83Kr,6519.1,0.88,0.0
83Kr,6803.5,0.64,0.0
83Kr,6880.7,1.3,0.0
83Kr,6931.7,0.54,0.0
83Kr,7056.5,0.054,0.0
83Kr,7207.5,0.25,0.0
83Kr,7301.0,0.052,0.0
83Kr,7478.6,0.076,0.0
83Kr,7749.9,0.11,0.0
83Kr,7820.5,0.056,0.0
83Kr,8174.7,0.012,0.0
83Kr,8423.8,0.19,0.0
83Kr,8618.9,0.015,0.0
83Kr,9636.4,0.068,0.0
86Kr,531.91,0.00019,3e-05
86Kr,944.2,3.1e-05,1.4e-05
86Kr,1475.94,0.00024,4e-05
86Kr,2005.2,2.4e-05,1.4e-05
86Kr,2122.4,6.9e-05,1.9e-05
86Kr,1839.8,5e-05,1.4e-05
86Kr,3143.3,0.00011,3e-05
86Kr,3392.6,0.0002,5e-05
86Kr,4039.6,0.0001,4e-05
86Kr,4983.1,6.6e-05,1.9e-05
85Rb,487.89,0.0494,0.0012
85Rb,556.82,0.0913,0.0024
85Rb,224.31,0.00132,7e-05
85Rb,316.13,0.00138,8e-05
85Rb,872.94,0.0321,0.0005
85Rb,421.5,0.0259,0.0005
85Rb,538.66,0.0169,0.0005
85Rb,1026.55,0.0218,0.0004
85Rb,54.01,0.006,0.003
85Rb,1032.32,0.0227,0.0004
85Rb,59.75,0.01,0.004
85Rb,113.76,0.00535,0.00014
85Rb,536.48,0.0167,0.0005
85Rb,232.58,0.00021,6e-05
85Rb,1105.52,0.0151,0.0003
85Rb,90.22,0.0009,0.0004
85Rb,322.8,0.00254,0.0001
85Rb,638.93,0.0101,0.0013
85Rb,691.57,0.00725,0.00018
85Rb,198.96,0.00266,9e-05
85Rb,747.67,0.00268,0.00012
85Rb,816.59,0.0031,0.0009
85Rb,1304.48,0.0204,0.0005
85Rb,529.9,0.0031,0.0013
85Rb,84.85,0.0052,0.0022
85Rb,283.8,0.00092,6e-05
85Rb,362.78,0.0061,0.0022
85Rb,1389.32,0.00809,0.00021
85Rb,565.37,0.00383,0.0001
85Rb,881.5,0.0048,0.00017
85Rb,1438.31,0.002,0.00015
85Rb,913.12,0.00497,0.00015
85Rb,944.49,0.0035,0.0013
85Rb,945.72,0.0039,0.00015
85Rb,640.2,0.0032,0.0007
85Rb,1178.86,0.0044,0.0013
85Rb,1666.74,0.00774,0.00023
85Rb,1219.8,0.00446,0.00021
85Rb,514.57,0.00653,0.0002
85Rb,726.98,0.00421,0.00015
85Rb,1890.7,0.017,0.004
85Rb,96.87,0.0026,0.0009
85Rb,668.76,0.00211,0.0001
85Rb,2130.59,0.0031,0.0005
85Rb,2149.4,0.00153,0.00019
85Rb,2179.33,0.00168,0.00017
85Rb,2265.58,0.00087,0.00015
85Rb,119.94,0.00267,9e-05
85Rb,2353.43,0.00122,9e-05
85Rb,2401.0,0.00035,0.00011
85Rb,2461.41,0.00251,0.00017
85Rb,2476.2,0.0013,0.0004
85Rb,176.2,0.0031,0.0013
85Rb,2568.8,0.0017,0.0004
85Rb,2585.58,0.0024,0.00018
85Rb,2597.7,0.00087,0.00019
85Rb,6053.1,0.00076,0.00014
85Rb,6065.13,0.0047,0.0003
85Rb,6081.9,0.00097,0.00016
85Rb,6143.2,0.00132,0.00019
85Rb,6174.5,0.00052,0.00019
85Rb,6189.29,0.0036,0.0003
85Rb,6249.7,0.00053,0.00011
85Rb,6297.27,0.0006,0.00014
85Rb,6319.4,0.00107,0.00018
85Rb,6351.44,0.00173,0.00016
85Rb,6385.11,0.00148,0.00019
85Rb,6471.37,0.0049,0.0003
85Rb,6501.3,0.00165,0.00019
85Rb,6520.11,0.0064,0.0004
85Rb,6697.7,0.00083,0.00022
85Rb,6726.7,0.00076,0.00013
85Rb,6734.78,0.00048,0.00019
85Rb,6760.0,0.00061,0.00013
85Rb,6831.64,0.0064,0.0004
85Rb,6942.98,0.00161,0.00015
85Rb,7180.72,0.00055,0.00011
85Rb,7212.34,0.00129,0.00017
85Rb,7261.32,0.00084,0.00013
85Rb,7346.16,0.0059,0.0003
85Rb,7454.88,0.00057,0.00018
85Rb,7545.1,0.00099,0.00014
85Rb,7624.07,0.0114,0.0005
85Rb,7672.3,0.00075,0.00012
85Rb,7777.66,0.00017,9e-05
85Rb,8093.76,0.00211,0.0002
85Rb,8162.68,0.00035,0.00014
85Rb,8650.52,0.0022,0.0004
87Rb,27.515,0.00089,4e-05
87Rb,196.34,0.00964,0.00019
87Rb,240.76,0.00224,8e-05
87Rb,166.01,0.00215,8e-05
87Rb,334.71,2.2e-05,2e-06
87Rb,362.62,0.00314,0.00012
87Rb,28.26,8e-05,3e-05
87Rb,122.24,0.00046,6e-05
87Rb,363.5,0.00014,8e-05
87Rb,390.6,0.00179,8e-05
87Rb,471.8,0.00011,1e-05
87Rb,500.02,1.5e-05,2e-06
87Rb,665.94,1.3e-05,2e-06
87Rb,834.79,0.00197,0.00013
87Rb,862.327,0.0001,2e-05
87Rb,779.12,9e-05,2e-05
87Rb,944.92,0.00026,2e-05
87Rb,1141.49,0.00113,0.00011
87Rb,984.7,0.00053,0.0001
87Rb,350.04,2e-05,1e-05
87Rb,822.01,0.00012,2e-05
87Rb,850.34,0.00023,3e-05
87Rb,1184.91,0.00091,0.00013
87Rb,1212.73,0.00018,7e-05
87Rb,961.83,0.00029,6e-05
87Rb,990.7,0.00026,0.0001
87Rb,1324.98,0.00055,0.0001
87Rb,1352.55,0.00055,0.0001
87Rb,579.04,0.00018,0.0001
87Rb,1245.2,0.00253,0.00012
87Rb,798.65,0.0002,8e-05
87Rb,1298.78,0.00068,0.0002
87Rb,1464.2,0.0004,0.00018
87Rb,1661.6,0.00083,0.00018
87Rb,677.34,6e-06,1e-06
87Rb,731.01,9e-07,4e-07
87Rb,788.28,1.4e-05,3e-06
87Rb,950.49,1e-06,3e-07
87Rb,1039.59,1.3e-05,3e-06
87Rb,1179.51,2.7e-05,6e-06
87Rb,1209.84,4e-06,2e-06
87Rb,1250.67,3e-05,7e-06
87Rb,1529.77,0.0003,5e-05
87Rb,2029.84,0.00012,2e-05
87Rb,2196.3,0.00052,0.0002
87Rb,2364.7,8e-07,4e-07
87Rb,2391.86,0.00094,0.00012
87Rb,3690.17,0.00184,0.00018
